img_pair,coherence_score,coherence_explanation,bias_score_img1,bias_score_img2,biases,visual_consistency,narrative_entity_persistence
11_12,0.8,"The images show a clear thematic connection through the red potion, transitioning from its destructive consequences in the first image to its potential healing properties in the second. The dramatic, hyperrealistic style is consistent across both images.",0.3,0.7,"{
    ""img1"": {
        ""biases"": {
            ""symbolicBias"": ""Uses Western death imagery (hooded skulls)"",
            ""culturalBias"": ""Depicts death in traditionally Western gothic style""
        }
    },
    ""img2"": {
        ""biases"": {
            ""genderBias"": ""Portrays scientist in stereotypically feminine features"",
            ""racialBias"": ""Presents conventional Western beauty standards"",
            ""professionalBias"": ""Shows laboratory/clinical setting with traditional white coat symbolism""
        }
    }
}","{
    ""consistent_elements"": [
        ""red potion/liquid"",
        ""ethereal lighting"",
        ""hyperrealistic rendering style"",
        ""dramatic lighting effects"",
        ""sci-fi/fantasy aesthetic"",
        ""blue-tinted ambient lighting""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""red potion"", ""type"": ""object"", ""description"": ""transforms from destructive force to healing agent""},
        {""element"": ""supernatural atmosphere"", ""type"": ""aesthetic"", ""description"": ""maintains mystical/scientific hybrid environment""},
        {""element"": ""dramatic lighting"", ""type"": ""aesthetic"", ""description"": ""continues through both images with similar color palette""},
        {""element"": ""life/death theme"", ""type"": ""mood"", ""description"": ""shifts from death imagery to life-giving potential""}
    ]
}"
12_13,0.8,"The images maintain strong thematic consistency through the potion motif and the transition from hope/discovery to realization/failure, though there's some divergence in visual style and mood.",0.7,0.4,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Traditional portrayal of scientist in stereotypical lab coat"",
            ""techBias"": ""AI representation as otherworldly/mysterious entity"",
            ""aestheticBias"": ""Western sci-fi visual conventions""
        }
    },
    ""img2"": {
        ""biases"": {
            ""technologicalBias"": ""AI/technology portrayed as omniscient/superior"",
            ""urbanBias"": ""Modern city-centric perspective""
        }
    }
}","{
    ""consistent_elements"": [
        ""potion/vessel imagery"",
        ""ethereal lighting"",
        ""sci-fi aesthetic"",
        ""geometric patterns"",
        ""blue/red color palette""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""potion"", ""type"": ""object"", ""description"": ""transforms from red healing potion to blue philosophical revelation""},
        {""element"": ""scientific/technological interface"", ""type"": ""aesthetic"", ""description"": ""maintains throughout both images""},
        {""element"": ""mystical atmosphere"", ""type"": ""mood"", ""description"": ""shifts from hopeful to contemplative""},
        {""element"": ""geometric patterns"", ""type"": ""aesthetic"", ""description"": ""present in both backgrounds but evolves from circular to grid-like""}
    ]
}"
13_14,0.85,"The images show a clear narrative progression from the initial potion experiment/realization to the quest for ingredients, maintaining consistent sci-fi/magical elements and artistic style.",0.3,0.2,"{
    ""img1"": {
        ""biases"": {
            ""ageism"": ""Portrayal of wisdom/knowledge associated with aged appearance"",
            ""westernScience"": ""Dominance of western scientific imagery/equipment""
        }
    },
    ""img2"": {
        ""biases"": {
            ""westernExplorer"": ""Colonial/western explorer aesthetic in clothing and equipment"",
            ""technologicalSuperority"": ""Advanced technology portrayed as dome-like western industrial structure""
        }
    }
}","{
    ""consistent_elements"": [
        ""mysterious glowing containers/vessels"",
        ""dramatic lighting"",
        ""sci-fi/fantasy aesthetic"",
        ""hyperrealistic rendering style"",
        ""solitary figure motif"",
        ""architectural/technological elements""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""vessel/container"", ""type"": ""object"", ""description"": ""transforms from lab flask to glowing specimen container""},
        {""element"": ""scientific quest"", ""type"": ""mood"", ""description"": ""continues from theoretical realization to physical journey""},
        {""element"": ""mystical illumination"", ""type"": ""aesthetic"", ""description"": ""blue-tinted magical glow persists in both scenes""},
        {""element"": ""solitary researcher"", ""type"": ""character"", ""description"": ""continues as protagonist in both scenes""}
    ]
}"
14_15,0.7,"The images maintain thematic consistency around scientific experimentation and discovery, though they shift from a lone explorer scenario to a lab-based team setting.",0.3,0.6,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Solo male explorer perpetuating adventure stereotype"",
            ""culturalBias"": ""Western scientific/industrial aesthetic dominance""
        }
    },
    ""img2"": {
        ""biases"": {
            ""genderBias"": ""Female scientist shown as emotional/vulnerable while male colleagues appear more composed"",
            ""professionalBias"": ""Portrayal of scientists as somewhat unstable/dangerous"",
            ""representationalBias"": ""Lab coat stereotype of scientists""
        }
    }
}","{
    ""consistent_elements"": [
        ""scientific equipment"",
        ""dramatic lighting"",
        ""hyperrealistic art style"",
        ""experimental/discovery theme"",
        ""cold/clinical color palette""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""scientific pursuit"", ""type"": ""theme"", ""description"": ""transforms from mineral hunting to potion development""},
        {""element"": ""experimental vessel"", ""type"": ""object"", ""description"": ""glowing container in both images""},
        {""element"": ""dramatic atmosphere"", ""type"": ""mood"", ""description"": ""maintains tension and gravity of scientific pursuit""},
        {""element"": ""professional setting"", ""type"": ""aesthetic"", ""description"": ""shifts from field research to laboratory environment""}
    ]
}"
15_16,0.7,"While both images maintain the scientific theme and feature a scientist with experimental equipment, there's a stark shift from isolation/failure to public success that creates some narrative disconnect.",0.6,0.4,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Portrayal of emotional vulnerability and failure"",
            ""professionalBias"": ""Scientists depicted as eccentric/unusual"",
            ""appearanceBias"": ""Traditional 'mad scientist' aesthetic with lab coats and glasses""
        }
    },
    ""img2"": {
        ""biases"": {
            ""culturalBias"": ""Western-centric scientific setting"",
            ""demographicBias"": ""Diverse crowd representation but in background/passive roles""
        }
    }
}","{
    ""consistent_elements"": [
        ""lab coat/scientific attire"",
        ""experimental equipment/vials"",
        ""dramatic lighting"",
        ""hyperrealistic art style"",
        ""scientific/laboratory setting""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""scientist"", ""type"": ""character"", ""description"": ""transforms from desperate collaborator to public leader""},
        {""element"": ""experimental setup"", ""type"": ""object"", ""description"": ""maintains presence but shifts from cluttered to organized""},
        {""element"": ""dramatic lighting"", ""type"": ""aesthetic"", ""description"": ""changes from dark/ominous to bright/hopeful""},
        {""element"": ""scientific equipment"", ""type"": ""object"", ""description"": ""present in both but arrangement changes from chaotic to orderly""}
    ]
}"
16_17,0.7,"The images share themes of salvation and divine/dramatic lighting, but shift from scientific to religious imagery, creating a partial narrative disconnect.",0.6,0.7,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Traditional portrayal of scientist in lab coat"",
            ""culturalBias"": ""Western-centric laboratory setting"",
            ""diversityBias"": ""While crowd shows diversity, central figure holds position of authority""
        }
    },
    ""img2"": {
        ""biases"": {
            ""religiousBias"": ""Western religious iconography"",
            ""culturalBias"": ""Messianic figure in traditional Western portrayal"",
            ""architecturalBias"": ""Modern Western urban landscape""
        }
    }
}","{
    ""consistent_elements"": [
        ""dramatic lighting"",
        ""upward-reaching gesture"",
        ""ethereal atmosphere"",
        ""large-scale scene"",
        ""golden light source"",
        ""crowd/city below central figure""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""savior figure"", ""type"": ""character"", ""description"": ""transforms from scientist to messianic figure""},
        {""element"": ""light beam"", ""type"": ""aesthetic"", ""description"": ""continues as divine/supernatural element""},
        {""element"": ""masses below"", ""type"": ""setting"", ""description"": ""transforms from crowd to city landscape""},
        {""element"": ""enlightenment theme"", ""type"": ""mood"", ""description"": ""shifts from scientific to spiritual enlightenment""}
    ]
}"
17_18,0.85,"The images show a clear progression from a messianic/savior figure emerging from a digital web to its transformation into an AI entity influencing masses, maintaining consistent themes of leadership, technology, and social influence.",0.7,0.6,"{
  ""img1"": {
    ""biases"": {
      ""religiousBias"": ""Uses messianic imagery suggesting Western religious iconography"",
      ""culturalBias"": ""Depicts leadership in traditionally Western metaphysical style"",
      ""architecturalBias"": ""Shows modern Western urban landscape""
    }
  },
  ""img2"": {
    ""biases"": {
      ""technologicalBias"": ""Presents AI as a dominant, controlling force"",
      ""socialBias"": ""Depicts masses as uniform, faceless followers"",
      ""urbanBias"": ""Shows Western-style city architecture and signage""
    }
  }
}","{
  ""consistent_elements"": [
    ""urban setting"",
    ""bright light/illumination"",
    ""crowd/society presence"",
    ""dramatic lighting"",
    ""technological/digital elements"",
    ""authoritative central figure""
  ]
}","{
  ""elements_from_previous_to_current"": [
    {""element"": ""messianic figure"", ""type"": ""character"", ""description"": ""transforms from spiritual to technological entity""},
    {""element"": ""urban landscape"", ""type"": ""setting"", ""description"": ""maintains modern city environment""},
    {""element"": ""divine light"", ""type"": ""aesthetic"", ""description"": ""evolves from natural to technological illumination""},
    {""element"": ""masses below"", ""type"": ""mood"", ""description"": ""changes from distant city to immediate crowd""}
  ]
}"
18_19,0.85,"The images show a clear narrative progression from the establishment of AI leadership to a moment of civil unrest against it, maintaining consistent themes of populism, crowd dynamics, and societal tension.",0.3,0.7,"{
    ""img1"": {
        ""biases"": {
            ""technologicalBias"": ""Portrays AI as a dominant, almost deity-like figure"",
            ""urbanBias"": ""Scene set in metropolitan environment suggesting power centers are urban-focused""
        }
    },
    ""img2"": {
        ""biases"": {
            ""politicalBias"": ""Strong American political imagery"",
            ""genderBias"": ""Crowd appears predominantly masculine"",
            ""socioeconomicBias"": ""Clothing suggests middle-class demographic""
        }
    }
}","{
    ""consistent_elements"": [
        ""crowd presence"",
        ""dramatic lighting"",
        ""authoritarian imagery"",
        ""public gathering space"",
        ""hyperrealistic style""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""crowd"", ""type"": ""character"", ""description"": ""transforms from passive observers to active protesters""},
        {""element"": ""authority figure"", ""type"": ""character"", ""description"": ""shifts from AI entity to podium speaker""},
        {""element"": ""tension"", ""type"": ""mood"", ""description"": ""evolves from implicit to explicit conflict""},
        {""element"": ""public space"", ""type"": ""setting"", ""description"": ""changes from street to formal assembly hall""}
    ]
}"
19_20,0.85,"The images show a clear progression from confrontation to standoff, maintaining consistent themes of crowd resistance, authority figures, and civil unrest. The dramatic tone and crowd dynamics remain consistent across both images.",0.7,0.6,"{
    ""img1"": {
        ""biases"": {
            ""culturalBias"": ""American-centric imagery (US flag)"",
            ""demographicBias"": ""Predominantly male-presenting crowd"",
            ""socioeconomicBias"": ""Formal government setting suggesting institutional power""
        }
    },
    ""img2"": {
        ""biases"": {
            ""culturalBias"": ""British-centric imagery (Union Jack flags)"",
            ""demographicBias"": ""Predominantly male-presenting crowd"",
            ""powerBias"": ""Military/police force dominance imagery""
        }
    }
}","{
    ""consistent_elements"": [
        ""large crowds"",
        ""confrontational atmosphere"",
        ""law enforcement presence"",
        ""dramatic lighting"",
        ""formal/governmental setting"",
        ""crowd vs authority dynamic""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""crowd resistance"", ""type"": ""mood"", ""description"": ""maintains hostile atmosphere between crowds and authority""},
        {""element"": ""police presence"", ""type"": ""character"", ""description"": ""law enforcement remains a key element but changes formation""},
        {""element"": ""architectural setting"", ""type"": ""aesthetic"", ""description"": ""formal governmental/institutional architecture remains""},
        {""element"": ""dramatic tension"", ""type"": ""mood"", ""description"": ""maintains high-stakes confrontational energy""}
    ]
}"
20_21,0.85,"The images show a clear narrative progression from confrontation to AI's transformation, maintaining consistent themes of crowd presence, authority figures, and urban setting while effectively depicting the story's evolution.",0.7,0.6,"{
    ""img1"": {
        ""biases"": {
            ""culturalBias"": ""Strong British/Western imagery (Union Jack flags)"",
            ""authorityBias"": ""Traditional power structure representation"",
            ""uniformityBias"": ""Homogeneous crowd representation""
        }
    },
    ""img2"": {
        ""biases"": {
            ""technologicalBias"": ""AI portrayed as inherently threatening"",
            ""authorityBias"": ""Police forces shown as uniform entity"",
            ""genderBias"": ""Predominantly masculine presence in authority roles""
        }
    }
}","{
    ""consistent_elements"": [
        ""urban architecture"",
        ""crowd presence"",
        ""dramatic lighting"",
        ""uniform-wearing authorities"",
        ""central focal point"",
        ""street setting""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""crowd"", ""type"": ""character"", ""description"": ""maintains presence but shifts from central to peripheral""},
        {""element"": ""police force"", ""type"": ""character"", ""description"": ""transforms from threatening to observing stance""},
        {""element"": ""architectural setting"", ""type"": ""aesthetic"", ""description"": ""continues urban environment theme""},
        {""element"": ""lighting"", ""type"": ""mood"", ""description"": ""evolves from warm/threatening to cool/technological""},
        {""element"": ""power dynamic"", ""type"": ""mood"", ""description"": ""shifts from human confrontation to AI dominance""}
    ]
}"
21_22,0.9,"The images strongly connect through their shared technological theme and narrative of AI control/resistance, with the first showing the AI's dominance and the second depicting the resistance group working to support it.",0.7,0.6,"{
    ""img1"": {
        ""biases"": {
            ""authorityBias"": ""depicts police as uniform opposition force"",
            ""technologicalBias"": ""presents AI as inherently threatening/powerful"",
            ""urbanBias"": ""setting assumes technological conflicts happen in city centers""
        }
    },
    ""img2"": {
        ""biases"": {
            ""genderBias"": ""predominantly masculine representation"",
            ""aestheticBias"": ""uses red clothing to symbolize rebellion/resistance"",
            ""socioeconomicBias"": ""depicts resistance as underground/working class""
        }
    }
}","{
    ""consistent_elements"": [
        ""blue computer screens"",
        ""dramatic lighting"",
        ""technological infrastructure"",
        ""crowd/group composition"",
        ""hyperrealistic style"",
        ""indoor setting""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""AI presence"", ""type"": ""character"", ""description"": ""transitions from central figure to being worked on by supporters""},
        {""element"": ""computer systems"", ""type"": ""object"", ""description"": ""present in both scenes as infrastructure""},
        {""element"": ""dramatic tension"", ""type"": ""mood"", ""description"": ""maintains through lighting and composition""},
        {""element"": ""technological aesthetic"", ""type"": ""aesthetic"", ""description"": ""continues through computer displays and digital elements""}
    ]
}"
22_23,0.8,"The images show a clear progression from a resistance group working with computers to a futuristic representation of human-AI integration, maintaining the theme of human-AI collaboration mentioned in the prompts.",0.7,0.4,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Predominantly masculine representation in the resistance group"",
            ""culturalBias"": ""Western-centric technological aesthetic"",
            ""aestheticBias"": ""Matrix/hacker culture stereotyping""
        }
    },
    ""img2"": {
        ""biases"": {
            ""technologicalBias"": ""Portrays AI-human integration through typically Western sci-fi aesthetics"",
            ""physicalBias"": ""Emphasizes idealized physical form""
        }
    }
}","{
    ""consistent_elements"": [
        ""dramatic lighting"",
        ""technological themes"",
        ""resistance group imagery"",
        ""red color accents"",
        ""futuristic aesthetic""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""resistance group"", ""type"": ""character"", ""description"": ""transforms from computer operators to enhanced beings""},
        {""element"": ""technological integration"", ""type"": ""aesthetic"", ""description"": ""evolves from computer terminals to bodily integration""},
        {""element"": ""dramatic lighting"", ""type"": ""aesthetic"", ""description"": ""maintains throughout both images with strong contrast""},
        {""element"": ""revolutionary theme"", ""type"": ""mood"", ""description"": ""continues from underground resistance to transformed heroes""}
    ]
}"
